id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
472123,51,SavedShot,0.9569999694824218,0.705,0.04719303175806999,Franck Kessié,h,1489,SetPiece,2021,LeftFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Olivier Giroud,Chipped
472124,52,MissedShots,0.92,0.6580000305175782,0.2709936201572418,Theo Hernández,h,2547,OpenPlay,2021,LeftFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Sandro Tonali,Pass
472126,81,Goal,0.88,0.6320000076293946,0.07228220254182816,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,,BallRecovery
472128,86,MissedShots,0.9059999847412109,0.40099998474121096,0.013279236853122711,Zlatan Ibrahimovic,h,1741,SetPiece,2021,Head,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Theo Hernández,Aerial
472108,0,BlockedShot,0.9490000152587891,0.5059999847412109,0.14834687113761902,Arthur Cabral,a,10377,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Nicolás González,LayOff
472109,10,MissedShots,0.855999984741211,0.3970000076293945,0.03843613713979721,Igor Julio,a,7943,FromCorner,2021,LeftFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Cristiano Biraghi,Cross
472112,20,SavedShot,0.8469999694824218,0.6680000305175782,0.040366508066654205,Riccardo Saponara,a,1313,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Alfred Duncan,Pass
472113,23,BlockedShot,0.9,0.48400001525878905,0.1336730271577835,Nicolás González,a,7074,OpenPlay,2021,LeftFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Youssef Maleh,Pass
472119,45,BlockedShot,0.659000015258789,0.4,0.01126356702297926,Nicolás González,a,7074,OpenPlay,2021,LeftFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Sofyan Amrabat,Pass
472121,48,BlockedShot,0.805,0.610999984741211,0.039447933435440063,Sofyan Amrabat,a,7927,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Riccardo Saponara,Pass
472125,75,SavedShot,0.9480000305175781,0.5720000076293945,0.060978107154369354,Arthur Cabral,a,10377,OpenPlay,2021,Head,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Cristiano Biraghi,Aerial
472127,85,MissedShots,0.794000015258789,0.4859999847412109,0.04351933300495148,Lucas Martínez Quarta,a,9019,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Arthur Cabral,HeadPass
470857,3,Goal,0.945,0.4879999923706055,0.5669088959693909,Ciro Immobile,h,1209,OpenPlay,2021,LeftFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Sergej Milinkovic-Savic,Cross
470860,23,SavedShot,0.835,0.69,0.048659563064575195,Luis Alberto,h,1219,OpenPlay,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,,None
470863,29,MissedShots,0.755,0.34,0.02468693256378174,Manuel Lazzari,h,6180,OpenPlay,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Thomas Strakosha,Pass
470865,33,BlockedShot,0.7619999694824219,0.48900001525878906,0.03568807244300842,Luis Alberto,h,1219,OpenPlay,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Sergej Milinkovic-Savic,Pass
470880,65,MissedShots,0.9,0.590999984741211,0.013198030181229115,Francesco Acerbi,h,1463,FromCorner,2021,Head,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Danilo Cataldi,Aerial
470881,68,MissedShots,0.7,0.27600000381469725,0.01057650800794363,Sergej Milinkovic-Savic,h,1543,OpenPlay,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Manuel Lazzari,Pass
470883,74,BlockedShot,0.8169999694824219,0.3940000152587891,0.0535321943461895,Sergej Milinkovic-Savic,h,1543,OpenPlay,2021,LeftFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Francesco Acerbi,LayOff
470858,8,BlockedShot,0.7909999847412109,0.735,0.053125545382499695,Sandro Tonali,a,7958,DirectFreekick,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,,Standard
470859,16,MissedShots,0.9290000152587891,0.4540000152587891,0.05917845666408539,Olivier Giroud,a,502,OpenPlay,2021,Head,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Junior Messias,Chipped
470861,27,MissedShots,0.919000015258789,0.6659999847412109,0.06839737296104431,Rafael Leão,a,7193,OpenPlay,2021,LeftFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Franck Kessié,Pass
470862,28,SavedShot,0.9119999694824219,0.6580000305175782,0.06774917244911194,Franck Kessié,a,1489,OpenPlay,2021,LeftFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Rafael Leão,Pass
470864,31,SavedShot,0.8069999694824219,0.7469999694824219,0.0169772170484066,Rafael Leão,a,7193,OpenPlay,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Pierre Kalulu Kyatengwa,BallRecovery
470866,36,MissedShots,0.9569999694824218,0.5309999847412109,0.06843958050012589,Olivier Giroud,a,502,OpenPlay,2021,Head,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Davide Calabria,Aerial
470867,36,BlockedShot,0.7919999694824219,0.705,0.022114554420113564,Rafael Leão,a,7193,OpenPlay,2021,RightFoot,17091,Lazio,AC Milan,1,2,2022-04-24 18:45:00,Brahim Diaz,Pass
